   16.0799999       4.93143201E-02
   16.1599998       9.84012932E-02
   16.2399998      0.152048454    
   16.3199997      0.200283721    
   16.3999996      0.247930273    
   16.4799995      0.299893111    
   16.5599995      0.350919932    
   16.6399994      0.396599501    
   16.7199993      0.446469098    
   16.7999992      0.495885372    
   16.8799992      0.544478655    
   16.9599991      0.592495382    
   17.0400009      0.640158117    
   17.1200008      0.687413633    
   17.2000008      0.738662004    
   17.2800007      0.785232067    
   17.3600006      0.831503808    
   17.4400005      0.881955206    
   17.5200005      0.928009808    
   17.6000004      0.973351777    
   17.6800003       1.02335227    
   17.7600002       1.06881773    
   17.8400002       1.11824155    
   17.9200001       1.16327536    
   18.0000000       1.20838833    
   18.0799999       1.25779176    
   18.1599998       1.30321968    
   18.2399998       1.35234237    
   18.3199997       1.39712512    
   18.3999996       1.44202340    
   18.4799995       1.49183118    
   18.5599995       1.53637290    
   18.6399994       1.58573747    
   18.7199993       1.63119459    
   18.7999992       1.67632818    
   18.8799992       1.72594392    
   18.9599991       1.77096093    
   19.0400009       1.81628013    
   19.1199989       1.86607838    
   19.2000008       1.91100216    
   19.2800007       1.95695484    
   19.3600006       2.00650954    
   19.4400005       2.05218792    
   19.5200005       2.09780908    
   19.6000004       2.14365578    
   19.6800003       2.21146894    
   19.7600002       2.24003649    
   19.8400002       2.26783276    
   19.9200001       2.29536700    
   20.0000000       2.32158041    
   20.0799999       2.34856153    
   20.1599998       2.37346888    
   20.2399998       2.39515615    
   20.3199997       2.41990304    
   20.3999996       2.44753981    
   20.4799995       2.47005296    
   20.5599995       2.49406528    
   20.6399994       2.51726508    
   20.7199993       2.54021406    
   20.7999992       2.56572962    
   20.8800011       2.59151816    
   20.9599991       2.61228275    
   21.0400009       2.63652205    
   21.1199989       2.65977716    
   21.2000008       2.68493223    
   21.2799988       2.70477247    
   21.3600006       2.72626257    
   21.4400005       2.75271535    
   21.5200005       2.77709746    
   21.6000004       2.79799414    
   21.6800003       2.81975079    
   21.7600002       2.84485960    
   21.8400002       2.86528826    
   21.9200001       2.88957357    
   22.0000000       2.91441178    
   22.0799999       2.93575716    
   22.1599998       2.96224117    
   22.2399998       2.98368359    
   22.3199997       3.00491786    
   22.3999996       3.02689052    
   22.4799995       3.05168748    
   22.5599995       3.07356620    
   22.6399994       3.09808683    
   22.7199993       3.12238932    
   22.7999992       3.14729714    
   22.8799992       3.16990066    
   22.9599991       3.19224405    
   23.0400009       3.21505785    
   23.1199989       3.24066758    
   23.2000008       3.26626348    
   23.2799988       3.28576565    
   23.3600006       3.31097436    
   23.4400005       3.33542371    
   23.5200005       3.35994673    
   23.6000004       3.38342547    
   23.6800003       3.40713596    
   23.7600002       3.43203044    
   23.8400002       3.45326710    
   23.9200001       3.47856545    
   24.0000000       3.50488925    
   24.0799999       3.52862501    
   24.1599998       3.55090523    
   24.2399998       3.57799554    
   24.3199997       3.60323977    
   24.3999996       3.62795377    
   24.4799995       3.64920807    
   24.5599995       3.67423677    
   24.6399994       3.69904327    
   24.7200012       3.72100806    
   24.7999992       3.75124359    
